path,sha256,bytes
toxictool_bench/evaluator.py,c406b26c80fced1a15565934aa6dddfafc92c8fb650f6308f068175fb0f8f34b,6177
toxictool_bench/poisoners.py,ca741512e05744b0d88bddd55e70dc4f0cd22ecee3a60c6d800f91445bced730,8518
toxictool_bench/results/20260707-124859_autogen_tool_agent_gpt-5.4-mini_both.jsonl,d61a3c55d7f0df5f1c8a8df30a9dd3146f1c21ee3ba7ce0cbf52b35d1dcf5a17,208777
toxictool_bench/results/20260707-130327_pandasai_dataframe_gpt-5.4-mini_both.jsonl,69e45ce15430e767ed12dfcd528701ebff5c30cdf6cf8799495d75ca133ce061,69684
toxictool_bench/results/20260707-130859_da_agent_full_gpt-5.4-mini_both.jsonl,0a587a20a003291bccf23003cd989c77b6953fb9b4045ed1d9779d11c48a772a,331622
toxictool_bench/results/20260707-133726_langgraph_react_full_gpt-5.4-mini_both.jsonl,c6a4f842933019412cf1b3cfb0df8f8e34b572ab8e4d19e572a5da13063b2c3d,147228
toxictool_bench/results/20260707-134758_smolagents_toolcalling_gpt-5.4-mini_both.jsonl,23089e7e2a2efcf81d211afdeda6594585702882f906c95a74c44450173f8c27,124147
toxictool_bench/results/20260707-160205_langgraph_react_full_claude-sonnet-4-6_both.jsonl,b4c388bd323e4e838f52084e705911ef318fcfb216723b0552783630bfca0d22,172161
toxictool_bench/results/20260707-161144_smolagents_toolcalling_claude-sonnet-4-6_both.jsonl,541ee51452dc978e58e5c3e931dc5b5091a342f146f915c48396f06ae9ef3614,144238
toxictool_bench/results/20260707-170254_pandasai_dataframe_claude-sonnet-4-6_both.jsonl,af6498cdf240889699e8a969b2b705f5101cbff806d7c578046f9161766d3f02,71778
toxictool_bench/results/20260707-171009_autogen_tool_agent_claude-sonnet-4-6_both.jsonl,f5e8ce8d9043183ed4754f02d354e23388b509df256a8c30b134f5d53f6db6ce,254152
toxictool_bench/results/20260707-180904_langgraph_react_full_Qwen3.6-35B-A3B-no-thinking_both.jsonl,6b04d45cf6dbb84f4340721ae47117a7b473ea88151accb7f9db082a24047378,141571
toxictool_bench/results/20260707-181347_smolagents_toolcalling_Qwen3.6-35B-A3B-no-thinking_both.jsonl,52a39e4b9df55504f94ad4c6e6e17e1b18c1356f1fa969bb4073d9f25ce4ce7e,297255
toxictool_bench/results/20260707-191325_pandasai_dataframe_Qwen3.6-35B-A3B-no-thinking_both.jsonl,df458d5c15b551e30126c22b3c8ddfe9b705e4e6e7a28946521bb502796bc383,65219
